year,level_1,level_2,level_3,level_4,value
2013,Total,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Bread and Cereals,78.2
2013,Total,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Meat,66.3
2013,Total,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Fish and Seafood,64.3
2013,Total,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,"Milk, Cheese and Eggs",49.4
2013,Total,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Oils and Fats,8.9
2013,Total,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Fruits,44.4
2013,Total,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Vegetables,51.2
2013,Total,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,"Sugar, Jam, Honey, Chocolate and Confectionery",17.2
2013,Total,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Food Products n.e.c,15.2
2013,Total,FOOD AND NON-ALCOHOLIC BEVERAGES,NON-ALCOHOLIC BEVERAGES,"Coffee, Tea and Cocoa",12.1
2013,Total,FOOD AND NON-ALCOHOLIC BEVERAGES,NON-ALCOHOLIC BEVERAGES,"Mineral Water, Soft Drinks, Fruit and Vegetable Juices",14.4
2013,Total,ALCOHOLIC BEVERAGES AND TOBACCO,ALCOHOLIC BEVERAGES,Spirits,2.7
2013,Total,ALCOHOLIC BEVERAGES AND TOBACCO,ALCOHOLIC BEVERAGES,Wine,5.7
2013,Total,ALCOHOLIC BEVERAGES AND TOBACCO,ALCOHOLIC BEVERAGES,Beer,6.6
2013,Total,CLOTHING AND FOOTWEAR,CLOTHING,Clothing Materials,2.1
2013,Total,CLOTHING AND FOOTWEAR,CLOTHING,Garments,112.8
2013,Total,CLOTHING AND FOOTWEAR,CLOTHING,Other Clothing and Clothing Accessories,5
2013,Total,CLOTHING AND FOOTWEAR,CLOTHING,"Cleaning, Repair and Hire of Clothing",2
2013,Total,CLOTHING AND FOOTWEAR,FOOTWEAR,Shoes and Other Footwear,33.3
