Date,Close,RSI,RSI Indicator,%K,%D,SO Indicator,Bollinger Indicator,Recommender,
08/10/2021,142.5101624,,,,,Hold,Hold,Unclassed,
11/10/2021,142.4204254,0,Buy,,,Hold,Hold,Unclassed,
12/10/2021,141.1239624,0,Buy,,,Hold,Hold,Unclassed,
13/10/2021,140.5256042,0,Buy,,,Hold,Hold,Unclassed,
14/10/2021,143.3678284,51.47475116,Hold,,,Hold,Hold,Hold,
15/10/2021,144.4448853,59.89873191,Hold,,,Hold,Hold,Hold,
18/10/2021,146.1502228,69.05789579,Hold,,,Hold,Hold,Hold,
19/10/2021,148.354187,76.52147844,Sell,,,Hold,Hold,Unclassed,
20/10/2021,148.852829,77.82475022,Sell,,,Hold,Hold,Unclassed,
21/10/2021,149.0722351,78.39308167,Sell,,,Hold,Hold,Unclassed,
22/10/2021,148.2843933,71.32428427,Sell,,,Hold,Hold,Unclassed,
25/10/2021,148.2345276,70.88857996,Sell,,,Hold,Hold,Unclassed,
26/10/2021,148.912674,73.27919665,Sell,,,Hold,Hold,Unclassed,
27/10/2021,148.4439545,69.05800713,Hold,82.90387118,,Hold,Hold,Hold,
28/10/2021,152.1538086,79.24750811,Sell,95.70515074,,Hold,Hold,Unclassed,
29/10/2021,149.3913574,62.69209937,Hold,75.87690686,84.82864293,Hold,Hold,Hold,
01/11/2021,148.5536499,58.6881619,Hold,69.86403352,80.48203037,Hold,Hold,Hold,
02/11/2021,149.6107635,61.98741635,Hold,72.9846399,72.90852676,Hold,Hold,Hold,
03/11/2021,151.0767517,66.03808676,Hold,83.216841,75.35517147,Hold,Hold,Hold,
04/11/2021,150.5481873,63.41423991,Hold,77.922032,78.04117097,Hold,Hold,Hold,
05/11/2021,151.0875092,64.94473534,Hold,75.30758004,78.81548434,Hold,Hold,Hold,
08/11/2021,150.2485809,60.69159293,Hold,62.8634484,72.03102015,Hold,Hold,Hold,
09/11/2021,150.618103,61.87590407,Hold,68.34470587,68.8385781,Hold,Hold,Hold,
10/11/2021,147.731781,49.3650029,Hold,25.53082714,52.24632714,Hold,Hold,Hold,
11/11/2021,147.681839,49.17970992,Hold,24.79001879,39.55518394,Hold,Hold,Hold,
12/11/2021,149.7991486,56.6147729,Hold,56.1968523,35.50589941,Hold,Hold,Hold,
15/11/2021,149.8091278,56.64696617,Hold,56.34487817,45.77724976,Hold,Hold,Hold,
16/11/2021,150.8078613,59.85741053,Hold,71.15946071,61.2337304,Hold,Hold,Hold,
17/11/2021,153.294693,66.50810274,Hold,82.8475253,70.11728806,Hold,Sell,Unclassed,Hold
18/11/2021,157.6691132,74.5085574,Sell,92.85073508,82.28590703,Sell,Sell,Sell,
19/11/2021,160.3457184,77.97538161,Sell,96.52879896,90.74235311,Sell,Sell,Sell,
22/11/2021,160.8151093,78.52690885,Sell,74.31397902,87.89783768,Hold,Sell,Unclassed,Hold
23/11/2021,161.2046204,78.9969235,Sell,76.45452465,82.43243421,Hold,Sell,Unclassed,
24/11/2021,161.7339478,79.64884468,Sell,79.36342613,76.71064327,Hold,Hold,Unclassed,
26/11/2021,156.6104736,60.17833875,Hold,51.20754064,69.00849714,Hold,Hold,Hold,
29/11/2021,160.0361023,66.13857421,Hold,70.0329716,66.86797946,Hold,Hold,Hold,
30/11/2021,165.0896759,72.64356323,Sell,97.80472109,73.01507778,Hold,Hold,Unclassed,Sell
01/12/2021,164.5603485,71.10279103,Sell,75.76689209,81.20152826,Hold,Hold,Unclassed,
02/12/2021,163.5516205,68.13688118,Hold,71.34089501,81.63750273,Hold,Hold,Hold,
03/12/2021,161.6340637,62.77614125,Hold,59.63736915,68.91505208,Hold,Hold,Hold,
06/12/2021,165.1096497,67.73160535,Hold,76.24048067,69.07291494,Hold,Hold,Hold,
07/12/2021,170.9621735,74.00674564,Sell,98.05726485,77.97837156,Hold,Hold,Unclassed,
08/12/2021,174.8572235,77.18649335,Sell,96.15886226,90.15220259,Sell,Sell,Sell,
09/12/2021,174.3378754,75.85407336,Sell,89.25942233,94.49184981,Sell,Hold,Sell,
10/12/2021,179.2216644,79.44706829,Sell,99.22643785,94.88157414,Sell,Sell,Sell,
13/12/2021,175.5163879,70.8349723,Sell,75.20372555,87.89652858,Hold,Hold,Unclassed,
14/12/2021,174.1081848,67.82574545,Hold,69.73225729,81.38747356,Hold,Hold,Hold,
15/12/2021,179.0718536,72.29369258,Sell,89.01822247,77.9847351,Hold,Hold,Unclassed,
16/12/2021,172.040802,59.65628698,Hold,59.43274732,72.72774236,Hold,Hold,Hold,
17/12/2021,170.9222412,57.92159637,Hold,54.82943534,67.76013504,Hold,Hold,Hold,
20/12/2021,169.5339966,55.75469884,Hold,49.11626966,54.45948411,Hold,Hold,Hold,
21/12/2021,172.7698822,59.55305289,Hold,62.43319543,55.45963348,Hold,Hold,Hold,
22/12/2021,175.4165039,62.39646831,Hold,71.03967392,60.86304634,Hold,Hold,Hold,
23/12/2021,176.0556946,63.07167604,Hold,67.22686829,66.89991255,Hold,Hold,Hold,
27/12/2021,180.1005402,67.09782286,Hold,87.73002051,75.33218758,Hold,Hold,Hold,
28/12/2021,179.0618591,65.1339983,Hold,80.64069567,78.53252816,Hold,Hold,Hold,
29/12/2021,179.1517487,65.2288456,Hold,81.25421997,83.20831205,Sell,Hold,Unclassed,
30/12/2021,177.9732513,62.81617264,Hold,73.210605,78.36850688,Hold,Hold,Hold,
31/12/2021,177.3440552,61.50809597,Hold,68.91614319,74.46032272,Hold,Hold,Hold,
03/01/2022,181.7783966,66.76139646,Hold,94.35791075,78.82821965,Hold,Hold,Hold,
04/01/2022,179.471344,62.01897156,Hold,79.06974085,80.78126493,Hold,Hold,Hold,
05/01/2022,174.6974182,53.54314983,Hold,48.19114975,73.87293379,Hold,Hold,Hold,
06/01/2022,171.7811432,49.1263357,Hold,29.32817028,52.19635363,Hold,Hold,Hold,
07/01/2022,171.9509277,49.38810107,Hold,30.42636657,35.98189554,Hold,Hold,Hold,
10/01/2022,171.9709015,49.4210723,Hold,27.21734598,28.99062761,Hold,Hold,Hold,
11/01/2022,174.8572235,54.07676818,Hold,46.78401986,34.80924414,Hold,Hold,Hold,
12/01/2022,175.3066406,54.77481546,Hold,49.8306647,41.27734351,Hold,Hold,Hold,
13/01/2022,171.9709015,48.8406337,Hold,27.21734598,41.27734351,Hold,Hold,Hold,
14/01/2022,172.8497925,50.36638397,Hold,33.17543842,36.7411497,Hold,Hold,Hold,
18/01/2022,169.5839386,44.99629508,Hold,11.03587902,23.80955447,Hold,Hold,Hold,
19/01/2022,166.0184784,39.9840632,Hold,1.705842438,15.30571996,Buy,Buy,Unclassed,
20/01/2022,164.3006592,37.79939355,Hold,1.759069597,4.833597018,Buy,Buy,Unclassed,
21/01/2022,162.2033539,35.26588421,Hold,0.5329488,1.332620279,Buy,Buy,Unclassed,
24/01/2022,161.4143372,34.33356253,Hold,24.50422794,8.932082113,Hold,Hold,Hold,
25/01/2022,159.5766907,32.19851617,Hold,19.94507142,14.99408272,Buy,Hold,Unclassed,
26/01/2022,159.4868011,32.09338397,Hold,22.19754109,22.21561348,Hold,Hold,Hold,
27/01/2022,159.0174103,31.51472374,Hold,20.10684265,20.74981839,Hold,Hold,Hold,
28/01/2022,170.113266,53.06033957,Hold,69.52852885,37.27763753,Hold,Hold,Hold,
31/01/2022,174.5576019,58.66910493,Hold,89.32389946,59.65309032,Hold,Hold,Hold,
01/02/2022,174.3878174,58.38210418,Hold,88.5676677,82.47336534,Sell,Hold,Unclassed,
02/02/2022,175.6162567,59.91019021,Hold,96.44163826,91.44440181,Sell,Hold,Unclassed,
03/02/2022,172.6799927,54.73682252,Hold,84.49392367,89.83440988,Sell,Hold,Unclassed,
04/02/2022,172.3899994,54.23867355,Hold,83.1459083,88.02715674,Sell,Hold,Unclassed,
07/02/2022,171.6600037,52.93274,Hold,79.75256955,82.46413384,Hold,Hold,Hold,
08/02/2022,174.8300018,57.69612364,Hold,94.48810462,85.79552749,Sell,Hold,Unclassed,
09/02/2022,176.2799988,59.70494429,Hold,98.32935552,90.85667656,Sell,Hold,Unclassed,
10/02/2022,172.1199951,52.06610462,Hold,79.54562879,90.78769631,Hold,Hold,Hold,
11/02/2022,168.6399994,46.68508103,Hold,59.60624804,79.16041078,Hold,Hold,Hold,
14/02/2022,168.8800049,47.09121077,Hold,59.17152403,66.10780029,Hold,Hold,Hold,
15/02/2022,172.7899933,53.32863783,Hold,79.21533817,65.99770341,Hold,Hold,Hold,
16/02/2022,172.5500031,52.91628424,Hold,70.83340325,69.74008848,Hold,Hold,Hold,
17/02/2022,168.8800049,46.93904668,Hold,22.99314337,57.68062826,Hold,Hold,Hold,
18/02/2022,167.3000031,44.60315253,Hold,10.61186919,34.81280527,Hold,Hold,Hold,
22/02/2022,164.3200073,40.50857933,Hold,14.96560985,16.19020747,Buy,Hold,Unclassed,
23/02/2022,160.0700073,35.5028812,Hold,1.893535147,9.157004727,Buy,Hold,Unclassed,
24/02/2022,162.7400055,40.47904059,Hold,43.57001279,20.14305259,Hold,Hold,Hold,
25/02/2022,164.8500061,44.14646313,Hold,52.12985511,32.53113435,Hold,Hold,Hold,
28/02/2022,165.1199951,44.61670147,Hold,53.2251455,49.64167113,Hold,Hold,Hold,
01/03/2022,163.1999969,41.91418827,Hold,45.43610435,50.26370165,Hold,Hold,Hold,
02/03/2022,166.5599976,47.86557507,Hold,62.01022235,53.5571574,Hold,Hold,Hold,
03/03/2022,166.2299957,47.35241609,Hold,66.68227821,58.0428683,Hold,Hold,Hold,
04/03/2022,163.1699982,42.77321265,Hold,52.34301821,60.34517292,Hold,Hold,Hold,
07/03/2022,159.3000031,37.79517501,Hold,34.20808015,51.07779219,Hold,Hold,Hold,
08/03/2022,157.4400024,35.64780701,Hold,25.49204955,37.34771597,Hold,Hold,Hold,
09/03/2022,162.9499969,45.5222391,Hold,54.99746326,38.23253099,Hold,Hold,Hold,
10/03/2022,158.5200043,40.18356115,Hold,35.16724182,38.55225154,Hold,Hold,Hold,
11/03/2022,154.7299957,36.26505678,Hold,16.14426456,35.43632321,Hold,Buy,Unclassed,
14/03/2022,150.6199951,32.55733498,Hold,2.764428927,18.02531177,Buy,Buy,Unclassed,
15/03/2022,155.0899963,39.76979708,Hold,26.52839384,15.14569578,Hold,Hold,Hold,
16/03/2022,159.5899963,46.02744797,Hold,50.45184193,26.5815549,Hold,Hold,Hold,
17/03/2022,160.6199951,47.37515868,Hold,55.92764689,44.30262755,Hold,Hold,Hold,
18/03/2022,163.9799957,51.61924044,Hold,73.79049136,60.05666006,Hold,Hold,Hold,
21/03/2022,165.3800049,53.30891517,Hold,81.23339055,70.31717627,Hold,Hold,Hold,
22/03/2022,168.8200073,57.25884382,Hold,96.89445605,83.97277932,Sell,Hold,Unclassed,
23/03/2022,170.2100067,58.77638978,Hold,89.21919521,89.1156806,Sell,Hold,Unclassed,
24/03/2022,174.0700073,62.73344639,Hold,99.70885156,95.27416761,Sell,Sell,Unclassed,
25/03/2022,174.7200012,63.37105943,Hold,97.77602176,95.56802284,Sell,Hold,Unclassed,
28/03/2022,175.6000061,64.26256051,Hold,99.49282217,98.99256516,Sell,Hold,Unclassed,
29/03/2022,178.9600067,67.51370765,Hold,99.82709162,99.03197852,Sell,Hold,Unclassed,
30/03/2022,177.7700043,65.24966473,Hold,93.76483673,97.69491684,Sell,Hold,Unclassed,
31/03/2022,174.6100006,59.53981601,Hold,83.05658783,92.21617206,Sell,Hold,Unclassed,
01/04/2022,174.3099976,59.01184717,Hold,81.8679308,86.22978512,Sell,Hold,Unclassed,
04/04/2022,178.4400024,63.77426591,Hold,95.34791868,86.7574791,Sell,Hold,Unclassed,
05/04/2022,175.0599976,57.85012996,Hold,79.29934515,85.50506488,Hold,Hold,Hold,
06/04/2022,171.8300018,52.80233209,Hold,60.80606354,78.48444246,Hold,Hold,Hold,
07/04/2022,172.1399994,53.22418398,Hold,55.00000919,65.03513929,Hold,Hold,Hold,
08/04/2022,171.0449982,51.47405968,Hold,41.73466517,52.5135793,Hold,Hold,Hold,
